Month,Container Tons,Auto Tons,Ro/Ro Tons (excl. autos),Forest Products (Break Bulk),Steel & other metals Break Bulk Tons,other Break Bulk Tons,Total General Cargo Tons,Import Loaded TEUs,Export Loaded TEUs,Total Loaded TEUs,Import Empty TEUs,Export Empty TEUs,Total Empty TEUs,Total TEUs,Total Containers,Import Auto Units,Export Auto Units,Total Auto UNITS,Import Ro/Ro Tons,Export Ro/Ro Tons
May 2021,"751,567","84,489","87,063","66,727",933,"18,797","1,012,719","46,049","24,651","70,700",58,"23,577","23,635","94,335","55,257","28,825","14,531","43,356","56,856","30,207"
Jun 2021,"719,866","72,934","75,806","64,428","1,565","19,179","953,778","46,319","21,186","67,505",50,"27,725","27,775","95,280","56,529","22,556","13,758","36,314","51,300","24,506"
Jul 2021,"594,746","74,718","70,898","92,575","1,767","18,458","853,162","37,626","19,304","56,930",186,"17,944","18,130","75,060","44,798","27,151","12,370","39,521","44,782","26,116"
Aug 2021,"716,296","76,586","80,294","60,769",698,"22,660","957,303","47,807","21,466","69,273",600,"27,074","27,674","96,947","57,509","25,598","13,990","39,588","53,031","27,263"
Sep 2021,"626,618","58,538","52,944","71,554","1,415","16,008","827,077","41,993","19,227","61,220",254,"20,842","21,096","82,316","48,644","19,071","10,714","29,785","33,436","19,508"
Oct 2021,"598,302","55,035","71,697","67,727","1,280","25,849","819,890","35,333","20,705","56,038",925,"17,963","18,888","74,926","44,635","17,256","10,511","27,767","48,822","22,875"
Nov 2021,"590,541","57,329","70,238","88,114",880,"15,542","822,644","36,154","19,694","55,848",507,"15,980","16,487","72,335","43,413","16,436","12,897","29,333","47,122","23,116"
Dec 2021,"746,541","87,640","82,706","54,107","1,367","24,675","997,036","49,438","22,102","71,540",296,"20,987","21,283","96,070","55,006","28,559","14,726","43,285","59,535","23,171"
Jan 2022,"565,597","66,146","70,943","52,221",745,"23,340","778,992","37,004","16,445","53,449",124,"19,204","19,328","72,777","43,855","27,047","6,400","33,447","48,283","22,660"
Feb 2022,"695,709","59,576","70,089","71,044","1,534","16,010","913,962","41,573","23,697","65,270",159,"20,472","20,631","85,901","50,600","20,215","10,921","31,136","45,135","24,955"
Mar 2022,"707,479","80,339","88,772","47,005","1,892","24,032","949,569","43,005","21,294","64,299",84,"23,462","23,546","87,845","52,327","28,407","11,209","39,616","62,985","25,787"
Apr 2022,"612,985","70,838","95,963","95,280","1,189","24,870","901,125","38,311","18,892","57,203",105,"18,143","18,248","75,451","44,205","20,943","10,489","31,432","61,852","34,111"
May 2022,"716,771","77,464","107,699","41,707","1,952","24,862","964,533","45,194","22,171","67,365",151,"24,687","24,838","92,203","54,405","24,434","16,129","40,563","75,452","32,247"
Jun 2022,"780,790","78,526","98,446","71,066",616,"20,575","1,050,019","51,610","21,665","73,275",104,"25,424","25,528","98,803","59,046","25,882","13,707","39,589","68,740","29,706"
Jul 2022,"733,981","62,726","95,838","66,560","1,758","21,004","981,867","50,052","19,269","69,321",66,"22,731","22,797","92,118","54,589","24,314","8,870","33,184","63,369","32,469"
Aug 2022,"731,143","74,433","87,514","110,999","1,182","22,689","1,027,960","49,444","19,296","68,740",62,"30,385","30,447","99,187","58,635","28,903","8,785","37,688","64,824","22,690"
